"C","n1","c1","c2","c3","c4","y"
311269761,62.5,1,0,1,1,0
2641015529,30,0,1,1,1,50
341518045,60,0,1,1,1,0
1968683674,62.5,1,0,1,1,0
1530256782,60,0,1,1,1,40
2255317095,1000,0,0,1,1,0
2641015529,8,1,1,1,1,0
2760374904,62.5,1,0,1,1,80
2641015529,250,0,1,1,1,100
2641015529,250,0,0,1,1,90
2007161983,250,1,1,0,1,100
1530256782,30,0,1,1,0,10
2641015529,60,1,1,0,0,80
1024745378,250,0,1,0,0,40
2073784347,250,0,1,0,1,0
684067573,250,0,0,1,1,0
2021009610,125,0,1,0,0,10
1623363247,30,1,1,1,0,20
2641015529,125,0,1,1,1,90
2641015529,30,0,1,0,0,10
2680607166,62.5,1,0,0,1,60
202504168,60,1,1,1,1,90
777403527,1000,0,0,1,1,100
2641015529,250,1,1,1,1,10
1454071915,62.5,0,0,0,0,10
2772036745,250,0,0,0,1,50
2641015529,250,1,1,1,0,80
2641015529,30,0,1,1,0,20
2641015529,60,1,1,0,1,80
2641015529,30,0,1,1,1,20
2641015529,125,0,1,1,0,0
2641015529,15,1,1,1,1,70
2641015529,125,0,1,1,1,100
298091004,60,0,1,0,0,30
2641015529,30,0,1,1,0,10
2641015529,125,0,1,1,1,100
2000063633,1,1,1,0,0,10
2641015529,500,0,1,1,0,30
2641015529,250,0,1,1,1,100
2018383756,125,1,1,0,1,100
2232759502,60,1,1,1,1,0
2641015529,60,1,1,0,0,80
2641015529,15,0,1,0,1,70
554410907,500,1,0,0,0,0
2047735889,15,1,1,1,1,20
2641015529,125,1,1,1,1,70
2641015529,8,0,1,0,1,0
2641015529,250,0,1,1,1,100
2641015529,125,0,1,1,1,70
2641015529,125,1,1,0,1,70
2641015529,30,1,1,0,1,60
2641015529,30,0,1,1,1,90
2641015529,30,0,1,1,0,0
1530256782,8,1,1,0,0,80
303272347,30,0,1,1,0,0
2624169524,125,0,1,0,0,0
2641015529,125,0,1,1,1,0
225536096,250,1,1,0,1,90
1333165084,125,1,1,1,0,30
2082539967,60,1,1,0,1,60
2641015529,30,0,1,0,1,10
2641015529,60,0,1,1,0,10
2641015529,30,0,1,1,0,0
1566641222,125,1,1,0,1,70
2641015529,8,0,1,1,0,0
2641015529,30,1,1,1,1,0
2641015529,30,1,1,1,1,70
2641015529,30,1,1,0,0,80
2958603807,15.625,0,0,1,1,0
968397069,60,0,1,0,0,0
2641015529,15,0,1,0,1,90
2850341554,250,0,1,0,1,0
999575796,62.5,0,0,1,1,0
1006050067,4,1,1,1,1,0
2039937822,1,1,1,0,0,50
2641015529,15,0,1,0,1,100
2005894956,1,1,1,1,1,0
2641015529,60,0,1,0,1,100
796159261,15,1,1,1,0,0
1837436321,1000,0,0,0,0,100
2641015529,15,0,1,1,1,20
2641015529,8,0,1,0,1,0
2641015529,8,1,1,1,1,0
291647191,4,1,1,0,1,70
2005954206,250,0,1,1,1,20
2641015529,250,0,0,1,1,100
950105675,4,1,1,0,1,100
2641015529,30,1,1,0,1,90
398278812,250,1,1,0,1,100
56683832,250,1,0,1,1,90
2125293082,30,1,1,1,0,0
2641015529,125,1,1,0,0,90
1692213733,30,1,1,0,1,40
626453957,60,1,1,0,0,30
2641015529,500,1,0,1,1,90
2641015529,60,1,1,1,0,40
2641015529,30,0,1,1,0,0
2641015529,8,0,1,0,1,10
2113057411,1000,0,0,0,0,90
2641015529,125,1,1,0,1,70
2734153148,250,1,1,0,0,80
744540360,250,1,0,0,0,20
2641015529,250,1,0,1,0,80
2641015529,15,1,1,1,0,0
2641015529,30,0,1,0,1,0
1115672454,250,1,0,0,0,20
2641015529,250,0,1,0,0,80
2641015529,125,0,1,1,1,80
2641015529,250,1,1,1,1,80
1277370522,30,1,1,1,1,30
2641015529,60,1,1,0,1,80
42248244,250,0,0,0,0,0
705981995,125,1,1,1,1,90
1530256782,15,1,1,0,1,90
2641015529,30,1,1,1,1,70
2649054607,250,0,1,0,1,0
1530256782,125,0,1,1,0,20
2641015529,500,1,1,0,1,50
2641015529,250,1,0,0,0,100
2033834661,125,0,1,1,0,0
2641015529,250,0,1,0,0,100
2641015529,30,0,1,1,1,90
2082808823,60,0,1,0,1,0
2641015529,60,1,1,0,0,80
2528308950,125,0,1,1,1,10
880032294,30,1,1,1,1,0
2641015529,15,0,1,0,0,0
2641474502,1000,0,0,0,0,0
1530256782,15,0,1,0,0,0
601556734,125,1,1,0,1,90
2641015529,60,1,1,1,0,10
2641015529,15,1,1,1,1,50
2641015529,62.5,0,0,0,0,100
2641015529,30,1,1,0,1,60
2641015529,15,1,1,1,1,90
747858607,15,1,1,0,1,50
2858315009,30,1,1,1,0,10
2084261924,1000,1,0,1,1,80
2641015529,15,1,1,0,1,70
851123540,125,0,1,0,0,0
2528308950,60,0,1,1,1,0
2641015529,60,0,1,0,1,20
2641015529,62.5,0,0,0,1,100
2641015529,30,0,1,0,0,70
2641015529,15,0,1,0,1,0
796159261,1000,0,0,1,1,90
2641015529,125,1,1,0,0,100
2641015529,15,0,1,1,0,0
860183289,60,1,1,0,1,0
2641015529,60,1,1,1,1,10
880032294,30,0,1,1,1,0
734777183,125,0,1,1,0,0
1530256782,250,1,1,0,1,90
2087440548,60,0,1,0,0,0
1137330731,8,1,1,0,1,0
2641015529,2,1,1,0,0,0
2114432966,500,1,0,0,0,40
2641015529,30,1,1,0,1,70
2495794200,1000,0,0,0,0,90
1566641222,15,1,1,0,1,80
2641015529,60,1,1,0,1,80
2641015529,125,0,1,1,1,80
2641015529,2,1,1,1,1,0
2641015529,30,0,1,1,1,90
2053551514,250,1,1,0,0,100
2641015529,30,0,1,1,1,0
2641015529,250,1,1,0,1,100
718550117,60,0,1,1,0,10
